timestamp,spot,gex_total,flip_point,dex_btc_total,dex_usd_total,vega_total,charmex_total,vannaex_total,volgaex_magnitud,call_wall,put_wall,resistencia_cercana,soporte_cercano,tipo_regimen,confianza_regimen,sesgo_score,sesgo_alineado,riesgo_aceleracion,snapshot_ts
2026-07-31 19:04:07.169628+00:00,63046.2,-19974520.70962795,63675.17586589837,-398.590863,-25129639.2668706,18319.408417,-288.1936418216119,18.06725256596497,103659.80139927864,63000.0,63000.0,63500.0,63000.0,TENDENCIA / EXPANSIÓN (short gamma),54.16666666666666,-8.409090909090908,False,81.81818181818183,
2026-07-31 20:50:40.306650+00:00,62913.48,-23179420.575333588,63507.60351861702,-456.425501,-28715316.62865348,18089.228725,-300.470153216555,19.769383503436845,114338.33604201674,63000.0,63000.0,63000.0,62500.0,TENDENCIA / EXPANSIÓN (short gamma),55.68181818181819,-9.545454545454543,False,100.0,
2026-07-31 22:48:18.973855+00:00,62907.99,-24260617.326186266,63524.17021204488,-490.815144,-30876194.17060056,19618.207022,-313.73958619985336,19.940449608069866,111318.36609077652,63000.0,63000.0,63000.0,62500.0,TENDENCIA / EXPANSIÓN (short gamma),58.71212121212121,-9.999999999999998,False,83.33333333333334,
2026-08-01 01:28:49.794487+00:00,62870.7,-24222812.154746126,63441.72184047937,-512.913485,-32247229.8413895,18969.288046,-321.87305549969204,19.19726507666842,100696.4919076639,63000.0,62500.0,63000.0,62500.0,TENDENCIA / EXPANSIÓN (short gamma),59.090909090909086,-10.227272727272728,False,74.24242424242425,
2026-08-01 05:14:47.042544+00:00,63058.56,-19897696.18286541,63357.85178560617,-283.799444,-17895984.26744064,15761.07642,-315.9406646774387,15.818106365632469,75782.96226676968,63000.0,63000.0,63500.0,63000.0,TENDENCIA / EXPANSIÓN (short gamma),55.30303030303031,-7.727272727272727,False,50.0,
2026-08-01 07:58:47.400909+00:00,63008.71,-133763106.74173164,63396.6340623104,-136.22425499999997,-8583314.578261048,13246.015758999998,-15718.693781263704,15.409776591394053,66485.34931908049,63000.0,63000.0,63500.0,63000.0,TENDENCIA / EXPANSIÓN (short gamma),74.24242424242425,-2.9545454545454546,False,62.121212121212125,
2026-08-01 09:55:55.464737+00:00,62997.36,-7116138.082365854,63275.143139385,-196.92459,-12405729.2890824,19015.075539,-187.90614795657868,18.89694035236176,114023.57146942188,63000.0,62500.0,63000.0,62500.0,TENDENCIA / EXPANSIÓN (short gamma),39.77272727272727,-5.227272727272728,False,96.96969696969695,
2026-08-01 11:09:32.694639+00:00,63002.56,-6873239.26301855,63263.938847014826,-189.41328600000003,-11933521.91601216,18181.477602000003,-191.6762899819464,18.181181245926613,108105.04096188878,63000.0,62500.0,63500.0,63000.0,TENDENCIA / EXPANSIÓN (short gamma),39.01515151515152,-5.227272727272728,False,93.93939393939394,
2026-08-01 12:50:34.017245+00:00,63054.45,-5212993.402742446,63259.74443174391,-137.251506,-8654318.2225017,17107.5504,-200.17666806692628,17.487427047580677,102505.4274188254,63000.0,62500.0,63500.0,63000.0,TENDENCIA / EXPANSIÓN (short gamma),38.25757575757576,-3.1818181818181817,False,95.45454545454544,
2026-08-01 14:51:17.886970+00:00,63056.14,-5077768.149143723,63246.06028589555,-134.07366399999998,-8454167.72749696,16540.679718000003,-219.53446023956403,17.69280448060812,102794.3977594908,63000.0,62500.0,63500.0,63000.0,TENDENCIA / EXPANSIÓN (short gamma),38.63636363636363,-2.7272727272727275,False,98.48484848484848,
2026-08-01 16:44:45.664745+00:00,62924.55,-8786128.264806848,63206.31004088753,-220.128409,-13851481.078540953,15894.926496,-238.63182434358765,17.526701094841986,93932.02198059304,63000.0,62500.0,63000.0,62500.0,TENDENCIA / EXPANSIÓN (short gamma),45.83333333333333,-6.363636363636363,False,92.42424242424242,
2026-08-01 18:49:37.859326+00:00,62373.18,-23033582.661359392,63085.5719638115,-611.4299579999999,-38136830.82772644,17181.206115,-197.14156974356507,11.832887198383158,78588.85990507485,63000.0,62500.0,62500.0,62000.0,TENDENCIA / EXPANSIÓN (short gamma),47.34848484848485,-10.681818181818182,False,45.45454545454545,
2026-08-01 20:38:40.942495+00:00,62522.05,-18059923.84179445,63089.22535833372,-487.852061,-30501510.95044505,17458.164292,-288.42391889484503,13.527679161041643,71047.4172498569,63000.0,62500.0,63000.0,62500.0,TENDENCIA / EXPANSIÓN (short gamma),52.65151515151515,-9.772727272727272,False,37.87878787878788,
2026-08-01 22:42:34.535840+00:00,62801.28,-10386526.026842726,63070.85307477156,-262.256303,-16470031.51646784,15148.257226000002,-375.2779177629584,15.517000318150195,73172.09122843893,63000.0,62500.0,63000.0,62500.0,TENDENCIA / EXPANSIÓN (short gamma),54.92424242424242,-7.045454545454545,False,53.03030303030303,
2026-08-02 01:26:23.706449+00:00,62922.31,-4889158.007182598,63051.60784288748,-149.638805,-9415619.27623955,11891.252898000002,-403.3746624274044,13.814696333796707,66899.66401660885,63000.0,62500.0,63000.0,62500.0,TENDENCIA / EXPANSIÓN (short gamma),48.48484848484848,-4.318181818181818,False,81.81818181818183,
2026-08-02 05:14:08.709136+00:00,63407.67,14554046.62839758,63111.189077988325,230.24986,14599607.1404262,10215.488126,-278.72385996940966,9.153240655621076,48544.82191569162,63500.0,63500.0,63500.0,63000.0,RANGO / REVERSIÓN (long gamma),51.13636363636364,61.36363636363636,True,48.48484848484848,
2026-08-02 08:00:37.805123+00:00,63438.65,1725286.993935706,63199.18175745444,3.51738,223137.83873699995,7647.140006,-100.53431441590767,6.787050473396165,39115.17972314114,64500.0,62000.0,63500.0,62500.0,RANGO / REVERSIÓN (long gamma),28.40909090909091,50.0,True,63.63636363636363,
2026-08-02 11:09:42.818431+00:00,63103.79,-2809124.37907413,63324.84900851606,-115.778489,-7306061.456373311,14074.663711999998,-149.34488561127057,11.267449538535752,62219.95063743217,63500.0,62500.0,63500.0,63000.0,TENDENCIA / EXPANSIÓN (short gamma),31.06060606060606,-2.0454545454545454,False,42.42424242424242,
2026-08-02 12:52:43.314277+00:00,63074.3,-3957958.296135887,63381.83168672809,-138.72461499999994,-8749957.983894497,14991.144660999998,-162.74454923305717,11.12636295335614,58487.298188912304,63500.0,62500.0,63500.0,63000.0,TENDENCIA / EXPANSIÓN (short gamma),31.81818181818182,-3.409090909090909,False,27.27272727272727,
2026-08-02 14:53:18.578090+00:00,63036.94,-4042717.9424469154,63351.54709363958,-143.55228700000004,-9049096.902481783,14675.436407,-176.88134513488745,10.799448000302872,54152.90465736603,63500.0,62500.0,63500.0,63000.0,TENDENCIA / EXPANSIÓN (short gamma),33.71212121212121,-3.8636363636363633,False,18.181818181818183,
2026-08-02 16:43:43.257063+00:00,63164.71,-2698767.3862711927,63358.61002517194,-91.10232,-5754451.623127201,13609.152289,-191.9376221512281,10.739051527397397,53785.00591578472,63500.0,62500.0,63500.0,63000.0,TENDENCIA / EXPANSIÓN (short gamma),33.333333333333336,-1.8181818181818183,False,28.78787878787879,
2026-08-02 18:50:28.078791+00:00,63342.17,-747799.5206475724,63382.91499840943,-38.899162,-2463957.33226154,12634.693853,-211.9900220918266,10.46309099706987,53509.45129331083,63500.0,62500.0,63500.0,63000.0,TENDENCIA / EXPANSIÓN (short gamma),32.57575757575758,-0.4545454545454546,False,40.909090909090914,
2026-08-02 20:41:07.077245+00:00,63350.43,-1560121.2936658184,63465.34925030978,-51.97848299999999,-3292859.2487976896,13147.778388,-256.16815463332847,10.85964555768373,52148.75860046881,63500.0,62000.0,63500.0,63000.0,TENDENCIA / EXPANSIÓN (short gamma),37.87878787878788,-0.9090909090909092,False,30.303030303030305,
